index,City,Date,Month,Card Type,Exp Type,Gender,Amount
365,"Greater Mumbai, India",29-Jan-14,Jan,Gold,Bills,Female,275283
366,"Greater Mumbai, India",3-Jan-14,Jan,Platinum,Bills,Female,172194
367,"Ahmedabad, India",13-May-15,May,Gold,Bills,Female,13162
368,"Bengaluru, India",5-Feb-15,Feb,Platinum,Bills,Female,3427
369,"Bengaluru, India",7-Jan-15,Jan,Gold,Bills,Female,171374
370,"Delhi, India",19-Feb-15,Feb,Signature,Bills,Female,286251
371,"Ahmedabad, India",19-Oct-14,Oct,Platinum,Bills,Female,123417
372,"Delhi, India",3-Dec-13,Dec,Silver,Bills,Female,81088
373,"Ahmedabad, India",26-Oct-14,Oct,Signature,Bills,Female,64113
374,"Bengaluru, India",27-Mar-14,Mar,Platinum,Bills,Female,54374
375,"Ahmedabad, India",18-Mar-15,Mar,Signature,Bills,Female,175515
376,"Delhi, India",25-Nov-13,Nov,Gold,Bills,Female,78773
377,"Bengaluru, India",25-Jun-14,Jun,Signature,Bills,Female,143515
378,"Delhi, India",22-Nov-14,Nov,Silver,Bills,Female,263613
379,"Greater Mumbai, India",22-Apr-15,Apr,Platinum,Bills,Female,265434
380,"Delhi, India",3-Jun-14,Jun,Signature,Bills,Female,87839
381,"Delhi, India",16-Jun-14,Jun,Signature,Bills,Female,60905
382,"Delhi, India",9-Apr-15,Apr,Platinum,Bills,Female,199726
383,"Delhi, India",20-Jan-15,Jan,Silver,Bills,Female,267896
384,"Ahmedabad, India",31-Dec-13,Dec,Gold,Bills,Female,198937
385,"Greater Mumbai, India",2-Oct-14,Oct,Gold,Bills,Female,90745
386,"Greater Mumbai, India",24-Jul-14,Jul,Silver,Bills,Female,86676
387,"Greater Mumbai, India",8-May-15,May,Platinum,Bills,Female,163574
388,"Greater Mumbai, India",27-Apr-15,Apr,Signature,Bills,Female,2138
389,"Bengaluru, India",11-Jun-14,Jun,Silver,Bills,Female,253749
390,"Delhi, India",6-Jun-14,Jun,Platinum,Bills,Female,60187
391,"Bengaluru, India",3-Mar-15,Mar,Platinum,Bills,Female,15566
392,"Greater Mumbai, India",11-Jul-14,Jul,Signature,Bills,Female,242144
393,"Delhi, India",17-Mar-14,Mar,Platinum,Bills,Female,114049
394,"Bengaluru, India",17-Mar-14,Mar,Gold,Bills,Female,100992
395,"Delhi, India",3-Mar-14,Mar,Silver,Bills,Female,173017
396,"Greater Mumbai, India",7-Jun-14,Jun,Gold,Bills,Female,279567
397,"Delhi, India",28-Dec-13,Dec,Signature,Bills,Female,25016
398,"Delhi, India",11-Nov-13,Nov,Silver,Bills,Female,157982
399,"Bengaluru, India",17-May-14,May,Signature,Bills,Female,240387
400,"Delhi, India",31-Aug-14,Aug,Platinum,Bills,Female,134030
401,"Bengaluru, India",26-Jan-15,Jan,Gold,Bills,Female,108651
402,"Delhi, India",17-Jan-14,Jan,Gold,Bills,Female,138617
403,"Bengaluru, India",27-Jan-14,Jan,Signature,Bills,Female,98963
404,"Delhi, India",24-Dec-13,Dec,Silver,Bills,Female,25486
405,"Delhi, India",3-Mar-15,Mar,Gold,Bills,Female,231140
406,"Ahmedabad, India",22-Oct-13,Oct,Gold,Bills,Female,20032
407,"Greater Mumbai, India",14-Jan-15,Jan,Gold,Bills,Female,293938
408,"Delhi, India",11-Jan-14,Jan,Silver,Bills,Female,88175
409,"Ahmedabad, India",7-Feb-15,Feb,Platinum,Bills,Female,105297
410,"Delhi, India",8-Oct-13,Oct,Platinum,Bills,Female,129169
411,"Greater Mumbai, India",14-Aug-14,Aug,Signature,Bills,Female,172386
412,"Greater Mumbai, India",9-May-15,May,Platinum,Bills,Female,46369
413,"Greater Mumbai, India",2-Apr-14,Apr,Silver,Bills,Female,158636
414,"Delhi, India",26-Nov-14,Nov,Signature,Bills,Female,87219
415,"Delhi, India",16-Nov-14,Nov,Gold,Bills,Female,183445
416,"Bengaluru, India",27-Jun-14,Jun,Silver,Bills,Female,147977
417,"Ahmedabad, India",19-Nov-14,Nov,Platinum,Bills,Female,243279
418,"Bengaluru, India",4-Apr-14,Apr,Platinum,Bills,Female,243950
419,"Delhi, India",14-Apr-15,Apr,Silver,Bills,Female,32548
420,"Delhi, India",9-Dec-13,Dec,Platinum,Bills,Female,118126
421,"Greater Mumbai, India",30-Nov-13,Nov,Platinum,Bills,Female,13325
422,"Greater Mumbai, India",16-Feb-14,Feb,Gold,Bills,Female,295055
423,"Greater Mumbai, India",12-Jan-15,Jan,Platinum,Bills,Female,64764
424,"Bengaluru, India",3-Feb-14,Feb,Platinum,Bills,Female,174520
425,"Delhi, India",5-Nov-13,Nov,Signature,Bills,Female,72763
426,"Greater Mumbai, India",27-Sep-14,Sep,Signature,Bills,Female,269809
427,"Delhi, India",29-Jun-14,Jun,Silver,Bills,Female,81145
428,"Ahmedabad, India",13-Jul-14,Jul,Silver,Bills,Female,25948
429,"Greater Mumbai, India",23-Jan-15,Jan,Silver,Bills,Female,120188
430,"Greater Mumbai, India",5-Dec-14,Dec,Signature,Bills,Female,8259
431,"Delhi, India",15-Apr-14,Apr,Signature,Bills,Female,285830
432,"Bengaluru, India",27-Apr-15,Apr,Gold,Bills,Female,67039
433,"Ahmedabad, India",25-Jul-14,Jul,Gold,Bills,Female,14370
434,"Ahmedabad, India",10-Oct-14,Oct,Platinum,Bills,Female,54304
435,"Greater Mumbai, India",18-Oct-13,Oct,Gold,Bills,Female,188856
436,"Ahmedabad, India",18-Jan-14,Jan,Gold,Bills,Female,44635
437,"Greater Mumbai, India",22-Nov-13,Nov,Platinum,Bills,Female,227273
438,"Delhi, India",26-Mar-14,Mar,Gold,Bills,Female,234200
439,"Delhi, India",12-Dec-14,Dec,Signature,Bills,Female,79053
440,"Greater Mumbai, India",1-Mar-15,Mar,Silver,Bills,Female,49711
441,"Greater Mumbai, India",29-Oct-14,Oct,Signature,Bills,Female,203463
442,"Bengaluru, India",29-Jul-14,Jul,Signature,Bills,Female,196985
443,"Greater Mumbai, India",18-Apr-15,Apr,Gold,Bills,Female,246457
444,"Delhi, India",5-Nov-13,Nov,Platinum,Bills,Female,88344
445,"Bengaluru, India",27-Aug-14,Aug,Signature,Bills,Female,167457
446,"Bengaluru, India",4-Mar-14,Mar,Gold,Bills,Female,254598
447,"Delhi, India",27-Jan-14,Jan,Platinum,Bills,Female,102486
448,"Greater Mumbai, India",18-Jan-14,Jan,Silver,Bills,Female,159428
449,"Bengaluru, India",28-Jan-14,Jan,Platinum,Bills,Female,296987
450,"Ahmedabad, India",6-Feb-15,Feb,Signature,Bills,Female,89418
451,"Delhi, India",26-Feb-15,Feb,Signature,Bills,Female,77247
452,"Bengaluru, India",24-Jan-14,Jan,Gold,Bills,Female,66542
453,"Greater Mumbai, India",27-Nov-14,Nov,Silver,Bills,Female,194526
454,"Bengaluru, India",16-Jul-14,Jul,Signature,Bills,Female,178119
455,"Bengaluru, India",16-May-14,May,Gold,Bills,Female,258653
456,"Delhi, India",2-Nov-14,Nov,Silver,Bills,Female,97425
457,"Delhi, India",23-May-14,May,Gold,Bills,Female,223185
458,"Greater Mumbai, India",28-Jan-15,Jan,Gold,Bills,Female,224750
459,"Ahmedabad, India",17-Jan-14,Jan,Signature,Bills,Female,103363
460,"Greater Mumbai, India",27-Nov-14,Nov,Platinum,Bills,Female,49090
461,"Bengaluru, India",20-Nov-14,Nov,Platinum,Bills,Female,140584
462,"Delhi, India",26-Jun-14,Jun,Platinum,Bills,Female,61272
463,"Delhi, India",2-Jan-14,Jan,Silver,Bills,Female,25200
464,"Greater Mumbai, India",9-Dec-13,Dec,Signature,Bills,Female,249893
465,"Bengaluru, India",25-May-14,May,Gold,Bills,Female,91325
466,"Greater Mumbai, India",14-Apr-14,Apr,Silver,Bills,Female,81641
467,"Greater Mumbai, India",14-Apr-15,Apr,Platinum,Bills,Female,267700
468,"Greater Mumbai, India",20-Nov-14,Nov,Silver,Food,Female,193429
469,"Ahmedabad, India",22-Apr-14,Apr,Gold,Food,Female,97674
470,"Bengaluru, India",8-Mar-14,Mar,Silver,Food,Female,222579
471,"Bengaluru, India",19-Mar-15,Mar,Platinum,Food,Female,194846
472,"Greater Mumbai, India",22-Feb-15,Feb,Signature,Food,Female,62690
473,"Greater Mumbai, India",8-Feb-15,Feb,Signature,Food,Female,225614
474,"Ahmedabad, India",20-Oct-13,Oct,Signature,Food,Female,13879
475,"Ahmedabad, India",4-Feb-15,Feb,Gold,Food,Female,279579
476,"Bengaluru, India",10-Sep-14,Sep,Gold,Food,Female,253183
477,"Bengaluru, India",10-May-14,May,Signature,Food,Female,183197
478,"Bengaluru, India",27-Aug-14,Aug,Gold,Food,Female,260046
479,"Bengaluru, India",21-Jul-14,Jul,Gold,Food,Female,95981
480,"Bengaluru, India",2-Mar-14,Mar,Gold,Food,Female,157399
481,"Delhi, India",20-Feb-14,Feb,Signature,Food,Female,140041
482,"Ahmedabad, India",5-Jan-14,Jan,Platinum,Food,Female,288339
483,"Ahmedabad, India",2-Jan-14,Jan,Platinum,Food,Female,49494
484,"Bengaluru, India",16-Apr-15,Apr,Platinum,Food,Female,43954
485,"Bengaluru, India",30-Nov-13,Nov,Platinum,Food,Female,35543
486,"Greater Mumbai, India",5-Jan-14,Jan,Signature,Food,Female,12982
487,"Delhi, India",2-Apr-14,Apr,Platinum,Food,Female,213140
488,"Greater Mumbai, India",22-Oct-13,Oct,Platinum,Food,Female,95741
489,"Bengaluru, India",7-Dec-13,Dec,Platinum,Food,Female,129144
490,"Ahmedabad, India",4-Mar-14,Mar,Gold,Food,Female,115551
491,"Bengaluru, India",26-Apr-14,Apr,Gold,Food,Female,57961
492,"Ahmedabad, India",4-Jan-15,Jan,Silver,Food,Female,209527
493,"Ahmedabad, India",8-Jul-14,Jul,Gold,Food,Female,15892
494,"Bengaluru, India",1-Dec-13,Dec,Signature,Food,Female,155659
495,"Greater Mumbai, India",17-Jun-14,Jun,Silver,Food,Female,246215
496,"Greater Mumbai, India",15-Oct-14,Oct,Signature,Food,Female,149465
497,"Ahmedabad, India",22-Aug-14,Aug,Gold,Food,Female,259694
498,"Delhi, India",23-Feb-14,Feb,Silver,Food,Female,70009
499,"Greater Mumbai, India",5-Jan-15,Jan,Gold,Food,Female,233391
500,"Ahmedabad, India",4-Aug-14,Aug,Silver,Food,Female,35002
501,"Ahmedabad, India",18-Apr-15,Apr,Silver,Food,Female,156519
502,"Bengaluru, India",22-Apr-14,Apr,Gold,Food,Female,286786
503,"Bengaluru, India",18-Sep-14,Sep,Signature,Food,Female,173244
504,"Bengaluru, India",31-Dec-14,Dec,Platinum,Food,Female,195804
505,"Ahmedabad, India",9-Feb-15,Feb,Platinum,Food,Female,162827
506,"Bengaluru, India",26-Jan-15,Jan,Signature,Food,Female,20036
507,"Bengaluru, India",17-Jul-14,Jul,Signature,Food,Female,266125
508,"Greater Mumbai, India",10-Mar-14,Mar,Signature,Food,Female,156531
509,"Ahmedabad, India",20-Oct-14,Oct,Signature,Food,Female,288673
510,"Ahmedabad, India",13-Oct-14,Oct,Signature,Food,Female,67474
511,"Delhi, India",28-Sep-14,Sep,Platinum,Food,Female,220674
512,"Greater Mumbai, India",24-Apr-14,Apr,Gold,Food,Female,282988
513,"Bengaluru, India",24-Aug-14,Aug,Signature,Food,Female,206308
514,"Bengaluru, India",27-Nov-14,Nov,Platinum,Food,Female,243074
515,"Ahmedabad, India",4-Apr-15,Apr,Signature,Food,Female,247181
516,"Greater Mumbai, India",8-Aug-14,Aug,Signature,Food,Female,111842
517,"Delhi, India",23-Mar-15,Mar,Gold,Food,Female,277079
518,"Delhi, India",28-Jan-15,Jan,Silver,Food,Female,218638
519,"Ahmedabad, India",14-Nov-14,Nov,Gold,Food,Female,152216
520,"Delhi, India",14-Apr-15,Apr,Signature,Food,Female,42620
521,"Ahmedabad, India",12-Jan-14,Jan,Gold,Food,Female,101639
522,"Greater Mumbai, India",2-Mar-14,Mar,Silver,Food,Female,102966
523,"Bengaluru, India",10-Mar-15,Mar,Platinum,Food,Female,127650
524,"Greater Mumbai, India",24-Jun-14,Jun,Platinum,Food,Female,277737
525,"Bengaluru, India",19-Mar-15,Mar,Signature,Food,Female,251805
526,"Ahmedabad, India",19-Feb-14,Feb,Signature,Food,Female,288284
527,"Bengaluru, India",22-Oct-13,Oct,Gold,Food,Female,125290
528,"Bengaluru, India",20-Aug-14,Aug,Silver,Food,Female,166602
529,"Ahmedabad, India",14-Apr-14,Apr,Silver,Food,Female,219097
530,"Bengaluru, India",26-Mar-15,Mar,Gold,Food,Female,34082
531,"Bengaluru, India",8-May-14,May,Silver,Food,Female,20573
532,"Bengaluru, India",28-Oct-13,Oct,Platinum,Food,Female,245056
533,"Ahmedabad, India",20-Dec-13,Dec,Signature,Food,Female,131847
534,"Delhi, India",16-Jan-15,Jan,Platinum,Food,Female,276873
535,"Bengaluru, India",6-May-14,May,Silver,Food,Female,138342
536,"Ahmedabad, India",9-Jan-15,Jan,Signature,Food,Female,137292
537,"Ahmedabad, India",4-Mar-14,Mar,Signature,Food,Female,147750
538,"Bengaluru, India",18-Oct-13,Oct,Signature,Food,Female,2397
539,"Bengaluru, India",16-Jul-14,Jul,Gold,Food,Female,31051
540,"Delhi, India",1-Oct-14,Oct,Signature,Food,Female,55137
541,"Greater Mumbai, India",8-Nov-13,Nov,Gold,Food,Female,136040
542,"Ahmedabad, India",8-Dec-14,Dec,Platinum,Food,Female,181721
543,"Delhi, India",12-Mar-14,Mar,Signature,Food,Female,81753
544,"Ahmedabad, India",28-Nov-14,Nov,Platinum,Food,Female,266386
545,"Ahmedabad, India",3-May-15,May,Silver,Food,Female,259008
546,"Greater Mumbai, India",10-Mar-15,Mar,Silver,Food,Female,250995
547,"Delhi, India",6-Oct-14,Oct,Signature,Food,Female,232155
548,"Greater Mumbai, India",13-Feb-14,Feb,Silver,Food,Female,48012
549,"Delhi, India",1-Jan-15,Jan,Signature,Food,Female,296543
550,"Greater Mumbai, India",25-Dec-14,Dec,Signature,Food,Female,246893
551,"Ahmedabad, India",19-Mar-15,Mar,Platinum,Food,Female,95807
552,"Ahmedabad, India",22-Aug-14,Aug,Platinum,Food,Female,165278
553,"Ahmedabad, India",15-Aug-14,Aug,Silver,Food,Female,191618
554,"Greater Mumbai, India",26-Apr-15,Apr,Silver,Food,Female,159718
555,"Ahmedabad, India",28-Nov-14,Nov,Gold,Food,Female,213552
556,"Greater Mumbai, India",3-May-15,May,Gold,Food,Female,249061
557,"Delhi, India",24-Feb-14,Feb,Silver,Food,Female,279377
558,"Delhi, India",19-Dec-14,Dec,Silver,Food,Female,233694
559,"Bengaluru, India",21-Jun-14,Jun,Silver,Food,Female,102362
560,"Bengaluru, India",10-Sep-14,Sep,Silver,Food,Female,108296
561,"Bengaluru, India",13-Apr-15,Apr,Gold,Food,Female,258275
562,"Bengaluru, India",21-Oct-14,Oct,Silver,Food,Female,194260
563,"Bengaluru, India",12-Apr-15,Apr,Gold,Food,Female,167903
564,"Ahmedabad, India",29-Jan-15,Jan,Silver,Food,Female,128266
565,"Bengaluru, India",19-Jan-15,Jan,Signature,Food,Female,268543
566,"Ahmedabad, India",17-Mar-14,Mar,Signature,Food,Female,30653
567,"Greater Mumbai, India",1-Jan-15,Jan,Signature,Food,Female,189981
568,"Delhi, India",28-Apr-15,Apr,Gold,Food,Female,230325
569,"Greater Mumbai, India",13-Mar-15,Mar,Signature,Food,Female,176871
570,"Greater Mumbai, India",9-Dec-14,Dec,Platinum,Food,Female,171241
571,"Greater Mumbai, India",7-Mar-14,Mar,Silver,Food,Female,91846
572,"Delhi, India",13-Nov-13,Nov,Silver,Food,Female,162813
573,"Delhi, India",4-Nov-14,Nov,Silver,Food,Female,28569
574,"Bengaluru, India",16-Nov-14,Nov,Silver,Food,Female,231827
575,"Delhi, India",4-Mar-15,Mar,Silver,Food,Female,281283
576,"Bengaluru, India",15-Oct-13,Oct,Silver,Food,Female,291358
577,"Delhi, India",27-Jul-14,Jul,Signature,Food,Female,288888
578,"Delhi, India",22-Nov-14,Nov,Gold,Food,Female,283575
579,"Greater Mumbai, India",24-Jul-14,Jul,Silver,Food,Female,132827
580,"Delhi, India",31-Aug-14,Aug,Silver,Food,Female,200721
581,"Ahmedabad, India",12-Jan-14,Jan,Signature,Food,Female,190220
582,"Ahmedabad, India",5-Feb-15,Feb,Signature,Food,Female,265508
583,"Greater Mumbai, India",10-Dec-13,Dec,Platinum,Food,Female,298838
584,"Greater Mumbai, India",12-Jan-14,Jan,Silver,Food,Female,203106
585,"Ahmedabad, India",19-Oct-14,Oct,Platinum,Food,Female,196647
586,"Delhi, India",5-Jan-15,Jan,Gold,Food,Female,136602
587,"Greater Mumbai, India",24-Feb-14,Feb,Gold,Food,Female,236980
588,"Greater Mumbai, India",23-Mar-14,Mar,Signature,Food,Female,59121
589,"Bengaluru, India",7-Jan-14,Jan,Silver,Food,Female,193944
590,"Greater Mumbai, India",13-Aug-14,Aug,Platinum,Food,Female,109857
591,"Bengaluru, India",30-Oct-13,Oct,Signature,Food,Female,57768
592,"Ahmedabad, India",2-Aug-14,Aug,Gold,Food,Female,207196
593,"Ahmedabad, India",26-Aug-14,Aug,Platinum,Food,Female,8056
594,"Ahmedabad, India",5-Jan-15,Jan,Platinum,Food,Female,178478
595,"Bengaluru, India",2-Aug-14,Aug,Platinum,Food,Female,246046
596,"Ahmedabad, India",29-Apr-14,Apr,Platinum,Food,Female,192382
597,"Greater Mumbai, India",25-Oct-14,Oct,Gold,Food,Female,19158
598,"Greater Mumbai, India",15-Dec-14,Dec,Platinum,Food,Female,9552
599,"Delhi, India",15-Mar-15,Mar,Platinum,Food,Female,276862
600,"Bengaluru, India",9-Nov-14,Nov,Silver,Food,Female,147958
601,"Greater Mumbai, India",20-Sep-14,Sep,Gold,Food,Female,151436
602,"Ahmedabad, India",26-Nov-14,Nov,Signature,Food,Female,271595
603,"Bengaluru, India",27-Dec-14,Dec,Platinum,Food,Female,8115
604,"Greater Mumbai, India",27-Jul-14,Jul,Silver,Food,Female,73172
605,"Delhi, India",3-Sep-14,Sep,Signature,Food,Female,196816
606,"Ahmedabad, India",16-Feb-14,Feb,Signature,Food,Female,162829
607,"Bengaluru, India",17-Oct-13,Oct,Signature,Food,Female,252669
608,"Ahmedabad, India",7-Feb-14,Feb,Gold,Food,Female,54746
609,"Bengaluru, India",11-Nov-13,Nov,Platinum,Food,Female,108079
610,"Ahmedabad, India",11-Mar-15,Mar,Platinum,Food,Female,240804
611,"Ahmedabad, India",7-Mar-15,Mar,Silver,Food,Female,11289
612,"Bengaluru, India",22-Nov-14,Nov,Silver,Food,Female,127020
613,"Greater Mumbai, India",4-Apr-14,Apr,Signature,Food,Female,114777
614,"Delhi, India",17-Jan-15,Jan,Platinum,Food,Female,88003
615,"Delhi, India",23-Dec-14,Dec,Silver,Food,Female,153154
616,"Bengaluru, India",16-Oct-14,Oct,Gold,Food,Female,114863
617,"Bengaluru, India",18-Jul-14,Jul,Gold,Food,Female,126912
618,"Bengaluru, India",4-Dec-13,Dec,Platinum,Food,Female,12621
619,"Bengaluru, India",1-Sep-14,Sep,Silver,Food,Female,248699
620,"Ahmedabad, India",12-Apr-15,Apr,Gold,Food,Female,232388
621,"Delhi, India",9-Nov-13,Nov,Silver,Food,Female,168039
622,"Delhi, India",4-Oct-13,Oct,Silver,Food,Female,122944
623,"Bengaluru, India",19-May-14,May,Platinum,Food,Female,171746
624,"Greater Mumbai, India",11-Aug-14,Aug,Platinum,Food,Female,168495
625,"Ahmedabad, India",20-Sep-14,Sep,Signature,Food,Female,252614
626,"Greater Mumbai, India",28-Apr-15,Apr,Platinum,Food,Female,233161
627,"Greater Mumbai, India",17-Nov-13,Nov,Gold,Food,Female,85459
628,"Ahmedabad, India",11-Mar-14,Mar,Signature,Food,Female,156075
629,"Greater Mumbai, India",16-Jul-14,Jul,Signature,Food,Female,161329
630,"Greater Mumbai, India",14-Jan-14,Jan,Gold,Food,Female,183105
631,"Delhi, India",1-Nov-14,Nov,Signature,Food,Female,252691
632,"Delhi, India",4-Apr-15,Apr,Gold,Food,Female,221345
633,"Ahmedabad, India",4-Jun-14,Jun,Platinum,Food,Female,131014
634,"Ahmedabad, India",28-Dec-13,Dec,Gold,Food,Female,21571
635,"Greater Mumbai, India",16-Oct-13,Oct,Silver,Food,Female,152307
636,"Greater Mumbai, India",11-Mar-15,Mar,Platinum,Food,Female,193060
637,"Bengaluru, India",8-Jan-15,Jan,Silver,Food,Female,133084
638,"Ahmedabad, India",8-May-14,May,Gold,Food,Female,194361
639,"Ahmedabad, India",5-Sep-14,Sep,Silver,Food,Female,286369
640,"Greater Mumbai, India",5-Dec-13,Dec,Silver,Food,Female,294814
641,"Bengaluru, India",1-Oct-14,Oct,Gold,Food,Female,276647
642,"Greater Mumbai, India",20-Dec-13,Dec,Signature,Food,Female,269712
643,"Bengaluru, India",30-Dec-13,Dec,Silver,Food,Female,167306
644,"Greater Mumbai, India",19-Nov-14,Nov,Silver,Food,Female,102247
645,"Bengaluru, India",15-Oct-14,Oct,Platinum,Food,Female,169677
646,"Greater Mumbai, India",9-Jul-14,Jul,Signature,Food,Female,253586
647,"Delhi, India",27-Apr-14,Apr,Gold,Food,Female,285567
648,"Ahmedabad, India",13-Oct-13,Oct,Signature,Food,Female,155529
649,"Delhi, India",17-Nov-14,Nov,Platinum,Food,Female,214039
650,"Greater Mumbai, India",4-Jan-15,Jan,Signature,Food,Female,25392
651,"Ahmedabad, India",9-Mar-15,Mar,Platinum,Food,Female,157972
652,"Greater Mumbai, India",15-Jun-14,Jun,Silver,Food,Female,200754
653,"Delhi, India",22-Feb-14,Feb,Silver,Food,Female,24981
654,"Delhi, India",10-Jun-14,Jun,Silver,Food,Female,223418
655,"Bengaluru, India",6-Aug-14,Aug,Signature,Food,Female,23309
656,"Bengaluru, India",4-Mar-14,Mar,Signature,Food,Female,85771
657,"Delhi, India",30-Jan-15,Jan,Silver,Food,Female,189297
658,"Greater Mumbai, India",15-Mar-14,Mar,Gold,Food,Female,125003
659,"Ahmedabad, India",20-Feb-15,Feb,Silver,Food,Female,226929
660,"Greater Mumbai, India",13-Feb-15,Feb,Silver,Food,Female,176275
661,"Bengaluru, India",6-Feb-15,Feb,Platinum,Food,Female,253338
662,"Ahmedabad, India",13-Jul-14,Jul,Signature,Food,Female,213508
663,"Delhi, India",4-Jan-14,Jan,Platinum,Food,Female,147766
664,"Bengaluru, India",25-Jul-14,Jul,Signature,Food,Female,275085
665,"Ahmedabad, India",10-Nov-14,Nov,Platinum,Food,Female,40010
666,"Ahmedabad, India",22-Nov-14,Nov,Signature,Food,Female,66775
667,"Ahmedabad, India",25-Nov-14,Nov,Platinum,Food,Female,292554
668,"Delhi, India",1-Nov-14,Nov,Platinum,Food,Female,263104
669,"Delhi, India",29-Nov-14,Nov,Platinum,Food,Female,154806
670,"Bengaluru, India",29-Jan-15,Jan,Gold,Food,Female,129650
671,"Ahmedabad, India",16-Jan-15,Jan,Signature,Food,Female,249446
672,"Bengaluru, India",9-Aug-14,Aug,Signature,Food,Female,135794
673,"Ahmedabad, India",31-Aug-14,Aug,Platinum,Food,Female,16468
674,"Greater Mumbai, India",17-Jan-14,Jan,Gold,Food,Female,185621
675,"Delhi, India",17-Sep-14,Sep,Platinum,Food,Female,279320
676,"Greater Mumbai, India",29-Dec-13,Dec,Platinum,Food,Female,271787
677,"Ahmedabad, India",29-Oct-13,Oct,Silver,Food,Female,64241
678,"Bengaluru, India",31-Mar-14,Mar,Platinum,Food,Female,297737
679,"Bengaluru, India",29-Jun-14,Jun,Gold,Food,Female,192039
680,"Delhi, India",12-Apr-15,Apr,Gold,Food,Female,39866
681,"Bengaluru, India",22-Aug-14,Aug,Gold,Food,Female,112782
682,"Delhi, India",17-Oct-13,Oct,Gold,Food,Female,113433
683,"Greater Mumbai, India",16-May-15,May,Gold,Food,Female,95081
684,"Bengaluru, India",13-Nov-13,Nov,Signature,Food,Female,148769
685,"Ahmedabad, India",30-Dec-13,Dec,Gold,Food,Female,161873
686,"Bengaluru, India",23-Feb-15,Feb,Gold,Food,Female,225071
687,"Delhi, India",9-Mar-15,Mar,Gold,Food,Female,260239
688,"Greater Mumbai, India",30-Mar-15,Mar,Gold,Food,Female,161682
689,"Greater Mumbai, India",7-Nov-14,Nov,Signature,Food,Female,59926
690,"Bengaluru, India",2-May-14,May,Platinum,Food,Female,22964
691,"Greater Mumbai, India",14-Oct-13,Oct,Platinum,Food,Female,48570
692,"Bengaluru, India",17-Oct-14,Oct,Silver,Food,Female,52970
693,"Bengaluru, India",20-Feb-15,Feb,Platinum,Food,Female,13160
694,"Ahmedabad, India",6-May-14,May,Gold,Food,Female,295163
695,"Bengaluru, India",27-Apr-15,Apr,Silver,Food,Female,158649
696,"Delhi, India",22-Oct-13,Oct,Platinum,Food,Female,120780
697,"Bengaluru, India",6-Mar-15,Mar,Signature,Food,Female,72366
698,"Greater Mumbai, India",24-Jan-15,Jan,Silver,Food,Female,281805
699,"Bengaluru, India",1-Jun-14,Jun,Platinum,Food,Female,197325
700,"Bengaluru, India",31-Dec-14,Dec,Platinum,Food,Female,167243
701,"Delhi, India",30-Sep-14,Sep,Signature,Food,Female,34451
702,"Ahmedabad, India",20-Sep-14,Sep,Gold,Food,Female,30120
703,"Delhi, India",19-Nov-13,Nov,Silver,Food,Female,189018
704,"Bengaluru, India",2-Nov-14,Nov,Silver,Food,Female,237971
705,"Bengaluru, India",19-Apr-15,Apr,Gold,Food,Female,71741
706,"Ahmedabad, India",30-Dec-13,Dec,Signature,Food,Female,231370
707,"Greater Mumbai, India",1-May-15,May,Gold,Food,Female,166896
708,"Delhi, India",9-Jul-14,Jul,Signature,Food,Female,116086
709,"Delhi, India",25-Mar-14,Mar,Signature,Food,Female,35506
710,"Ahmedabad, India",6-Feb-14,Feb,Signature,Food,Female,247122
711,"Bengaluru, India",19-Oct-14,Oct,Platinum,Food,Female,230876
712,"Bengaluru, India",4-Apr-15,Apr,Signature,Food,Female,20358
713,"Delhi, India",24-May-15,May,Platinum,Food,Female,162487
714,"Bengaluru, India",15-Apr-14,Apr,Signature,Food,Female,245076
715,"Greater Mumbai, India",13-Aug-14,Aug,Silver,Food,Female,217488
716,"Ahmedabad, India",9-Aug-14,Aug,Gold,Food,Female,23818
717,"Bengaluru, India",7-Mar-15,Mar,Platinum,Food,Female,298295
718,"Delhi, India",26-Mar-14,Mar,Signature,Food,Female,264509
719,"Delhi, India",22-May-15,May,Platinum,Food,Female,127526
720,"Greater Mumbai, India",26-Dec-13,Dec,Platinum,Food,Female,158856
721,"Ahmedabad, India",1-Sep-14,Sep,Silver,Food,Female,233893
722,"Delhi, India",14-Mar-14,Mar,Gold,Food,Female,61388
723,"Delhi, India",30-Jan-14,Jan,Signature,Food,Female,149081
724,"Ahmedabad, India",5-Apr-15,Apr,Gold,Food,Female,103225
725,"Ahmedabad, India",10-Jan-15,Jan,Gold,Food,Female,254211
726,"Delhi, India",20-Aug-14,Aug,Silver,Food,Female,64034
727,"Bengaluru, India",4-Jun-14,Jun,Signature,Food,Female,27479
728,"Greater Mumbai, India",15-Mar-14,Mar,Platinum,Food,Female,175112
729,"Greater Mumbai, India",13-Jan-14,Jan,Platinum,Food,Female,9001
730,"Bengaluru, India",3-Mar-14,Mar,Platinum,Food,Female,115150
731,"Bengaluru, India",28-Mar-14,Mar,Gold,Food,Female,15615
732,"Greater Mumbai, India",16-Jan-14,Jan,Gold,Food,Female,56905
733,"Ahmedabad, India",7-Nov-14,Nov,Signature,Food,Female,83916
734,"Delhi, India",6-May-15,May,Signature,Food,Female,123754
735,"Greater Mumbai, India",16-Nov-14,Nov,Platinum,Food,Female,81289
